Lot Number,Image,Address,Town,Postcode,Description,Guide Price,Price,Auctioneer,Auction Date,Lease Details,Vendor
170,https://www.eigroup.co.uk/files/57/21129/2525e219-a136-45bf-a0dc-bdad1a8e58fb.jpg,"Flat 1, 5 Hayes Road, Clacton-on-Sea, Essex, CO15 1TX", Essex, CO15 1TX,Leasehold Self-Contained Ground Floor Flat One Bedroom Assured Shorthold Tenancy,"£35,000 to £40,000",35000,Allsop Residential,26 March 2015,"99 Yr, commencing 25/12/1988 00:00:00 (GR.£50.PA)",Joint Fixed Charge Receivers
171,https://www.eigroup.co.uk/files/57/21129/67e514a4-aa20-4395-a0f9-e30106971e2d.jpg,"2 The Green, Wednesbury, West Midlands, WS10 8JZ", West Midlands, WS10 8JZ,Freehold Terrace House HMO Arranged As 6 Bed Sit 4 Assured Shorthold Tenancy Two Vacant,"£90,000 Plus",90000,Allsop Residential,26 March 2015,,
172,https://www.eigroup.co.uk/files/57/21129/f94422d3-653a-45a6-8001-f63a0726dcf9.jpg,"63 Trimmer Walk, Brentford, Middlesex, TW8 0RJ", Middlesex, TW8 0RJ,Leasehold Ground & 1st Floor Maisonette 4 Room(s) Parking Space Vacant,"£280,000 Plus",280000,Allsop Residential,26 March 2015,,
173,https://www.eigroup.co.uk/files/57/21129/877ef580-2099-4239-a9d4-86984fb02dad.jpg,"Former Victoria Central Health Centre, Mill Lane, Wallasey, Merseyside, CH44 5UF", Merseyside, CH44 5UF,Freehold Site 1.38 Acre Development Potential Subject to Planning Permission Vacant,Refer,,Allsop Residential,26 March 2015,,NHS Property Services Ltd
174,https://www.eigroup.co.uk/files/57/21129/3f1d4e6c-0d6f-4ac6-bedf-f3d4e1329fc5.jpg,"Land at East Acton Lane, Acton, London, W3 7ER", London, W3 7ER,Freehold Electricity SubStation on Site 0.213 Acre Let,"£50,000 Plus",50000,Allsop Residential,26 March 2015,,
175,https://www.eigroup.co.uk/files/57/21129/158720d8-edf9-4575-9e0b-3b8d1f1a660f.jpg,"Flat 4, Keats House, 38 Union Road, Ryde, Isle of Wight, PO33 2FR", Isle of Wight, PO33 2FR,Leasehold Self-Contained Purpose Built 1st Floor Flat Three Room(s) Vacant,"£30,000 Plus",30000,Allsop Residential,26 March 2015,"99 Yr, commencing 01/01/2001 00:00:00 (GR.£25.PA)",Housing Association
176,https://www.eigroup.co.uk/files/57/21129/0c3ccbf4-ecac-433b-b9d7-19874e852397.jpg,"Flat 11, St. Michael's Court, St. Leonards Road, New Cross, London, E14 6PS", London, E14 6PS,Leasehold Self-Contained 1st Floor Flat One Bedroom Assured Shorthold Tenancy,Refer,,Allsop Residential,26 March 2015,"99 Yr, commencing 29/09/1986 00:00:00 (GR.£100.PA)",Joint Fixed Charge Receivers
177,https://www.eigroup.co.uk/files/57/21129/1462b004-3c99-417c-97eb-6f2d7fc6f068.jpg,"Land at Seagry Road, Wanstead, London, E11 2NG", London, E11 2NG,Freehold Site 0.106 Acre Development Potential Subject to Planning Permission Vacant,Refer,,Allsop Residential,26 March 2015,,Transport for London
178,https://www.eigroup.co.uk/files/57/21129/a8ea2d65-119f-4be1-9ba4-69883fed2dc1.jpg,"51 Lime Square, City Road, Newcastle upon Tyne, Tyne and Wear, NE1 2BN", Tyne and Wear, NE1 2BN,Leasehold Self-Contained Ground Floor Flat One Bedroom Parking Space Vacant,"£70,000 Plus",70000,Allsop Residential,26 March 2015,,Receiver
179,https://www.eigroup.co.uk/files/57/21129/1bbb65ae-18cd-4c60-a43f-b1a62ffaff67.jpg,"Flat 2, 4 Drysdale Fold, Huddersfield, West Yorkshire, HD2 1ZF", West Yorkshire, HD2 1ZF,Leasehold Self-Contained Flat Two Bedroom Vacant,"£45,000 Plus",45000,Allsop Residential,26 March 2015,,Receiver
180,https://www.eigroup.co.uk/files/57/21129/763d4d48-6ea5-4fdd-bf24-11a676698a4d.jpg,"10 Aldrington Road, Streatham, London, SW16 1TH", London, SW16 1TH,Freehold Detached Building Three Floor Arranged As 5 Studio Flat & Three Flat Garden Vacant,"£1,100,000 Plus",1100000,Allsop Residential,26 March 2015,,Housing Association
181,https://www.eigroup.co.uk/files/57/21129/a8a8cd33-5460-4bc7-98b1-50c81125669d.jpg,"6 Old Manor Drive, Isleworth, Middlesex, TW7 7NN", Middlesex, TW7 7NN,Freehold Terrace House Three Floor 5 Room(s) Garden Vacant,"£400,000 Plus",400000,Allsop Residential,26 March 2015,,
182,https://www.eigroup.co.uk/files/57/21129/77ca0071-a0ff-4187-80ac-e2ebe486b7b3.jpg,"50B Main Road, Harwich, Essex, CO12 3LP", Essex, CO12 3LP,Leasehold Self-Contained Ground Floor Flat One Bedroom Vacant,Refer,,Allsop Residential,26 March 2015,"99 Yr, commencing 03/06/1988 00:00:00 (GR.£15.PA.)",Joint Fixed Charge Receivers
183,https://www.eigroup.co.uk/files/57/21129/942f84df-02fb-4cdd-a984-a110d8b266ad.jpg,"Flat 2, 40 Harold Road, Cliftonville, Margate, Kent, CT9 2HT", Kent, CT9 2HT,Leasehold Self-Contained Raised Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£35,000 to £40,000",35000,Allsop Residential,26 March 2015,"99 Yr, commencing 24/06/1990 00:00:00 (GR.£50.PA.)",Joint Fixed Charge Receivers
184,https://www.eigroup.co.uk/files/57/21129/ec946bd2-6914-49af-b84b-5dfb49007e77.jpg,"Flat 11, Pavilion Court, 2 Stafford Road, Kilburn, London, NW6 5YX", London, NW6 5YX,Leasehold Self-Contained Purpose Built 1st Floor Flat Three Room(s) Vacant,"£350,000 Plus",350000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/01/2015 00:00:00 (GR.£200.PA.)",Housing Association
185,https://www.eigroup.co.uk/files/57/21129/ba862f0d-05f8-48c4-b5f2-b47519a8e8db.jpg,"622-624 Manchester Road, Bradford, West Yorkshire, BD5 7NL", West Yorkshire, BD5 7NL,Freehold End of Terrace Building Arranged As Two Ground Floor Retail Unit/s & Office Unit/s Vacant Residential Upper Part Studio Flat 4 bs & One Apartment Let,"£85,000 Plus",85000,Allsop Residential,26 March 2015,,Receiver
186,https://www.eigroup.co.uk/files/57/21129/9566b5df-4c0c-4d9f-ba0b-1a451239fab8.jpg,"20A Parsifal Road, Hampstead, London, NW6 1UH", London, NW6 1UH,Freehold Semi-Detached House Three Floor 5 Room(s) Garden Assured Shorthold Tenancy,"£1,150,000 Plus",1150000,Allsop Residential,26 March 2015,,
186A,https://www.eigroup.co.uk/files/57/21129/f807cb23-f021-4114-9923-fb1add5beadc.jpg,"1-9 Zeta Court, Causeyware Road, Edmonton, London, N9 8BS", London, N9 8BS,Freehold Pair Residential Building Arranged As 9 Self-Contained Flat Let,"£1,400,000 Plus",1400000,Allsop Residential,26 March 2015,"5 Yr, commencing 13/11/2013 00:00:00",
187,https://www.eigroup.co.uk/files/57/21129/9231e987-2f20-4d40-8731-762e6fbe2b00.jpg,"172 Beddington Lane, Croydon, Surrey, CR0 4TF", Surrey, CR0 4TF,Freehold Semi-Detached House Two Floor 7 Room(s) Garden Vacant,"£350,000 Plus",350000,Allsop Residential,26 March 2015,,Mortgagee(s)
188,https://www.eigroup.co.uk/files/57/21129/9129d6e4-fe82-41a2-802c-c9657f63fe84.jpg,"Flat 8, The Chestnuts, 66 Harestone Valley Road, Caterham, Surrey, CR3 6HE", Surrey, CR3 6HE,Leasehold Self-Contained 2nd Floor Flat 4 Room(s) Communal Gardens Vacant,"£250,000 Plus",250000,Allsop Residential,26 March 2015,"999 Yr, commencing 28/01/1967 00:00:00 (GR.£12.12.PA.)",
189,https://www.eigroup.co.uk/files/57/21129/e6a2ceff-8863-4f6f-8b92-5b462fd9e7f8.jpg,"Flat 5A, The Rise, Palmers Green, London, N13 5LF", London, N13 5LF,Leasehold Self-Contained Ground Floor Flat Three Room(s) Garden,"£200,000 to £240,000",200000,Allsop Residential,26 March 2015,"110 Yr, commencing 02/04/2009 00:00:00 (GR.£250.PA.)",Joint Fixed Charge Receivers
190,https://www.eigroup.co.uk/files/57/21129/ba90f4dd-cfbc-410d-b01c-fe7ad38d9a49.jpg,"Flat 10A, Hereward House, Gordon Road, Cliftonville, Margate, Kent, CT9 2DN", Kent, CT9 2DN,Leasehold Self-Contained Ground Floor Flat One Bedroom Assured Shorthold Tenancy,"£27,500 to £32,500",27500,Allsop Residential,26 March 2015,"99 Yr, commencing 01/01/1989 00:00:00 (GR.£50.PA.)",Joint Fixed Charge Receivers
191,https://www.eigroup.co.uk/files/57/21129/19b4310a-9eeb-42f9-aeea-5f78166977b3.jpg,"Flat 37, Avenue Court, Avenue Court, Westgate, Bridlington, North Humberside, YO16 4QG", North Humberside, YO16 4QG,Leasehold Self-Contained Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£50,000 to £60,000",50000,Allsop Residential,26 March 2015,"125 Yr, commencing 05/11/1990 00:00:00",
192,https://www.eigroup.co.uk/files/57/21129/d19c04a3-6065-44dd-92ae-46ef21937bd8.jpg,"89 Cranwich Road, Stamford Hill, London, N16 5JX", London, N16 5JX,Freehold Terrace Building Three Floor Arranged As Three Self-Contained Flat One Fire Damaged Vacant,"£800,000 Plus",800000,Allsop Residential,26 March 2015,,Housing Association
193,https://www.eigroup.co.uk/files/57/21129/8a2d9e8b-b0b9-49ad-bdcf-83cf93e52f7d.jpg,"Flat E, 28 Upper Clapton Road, Clapton, London, E5 8BQ", London, E5 8BQ,Leasehold Self-Contained Purpose Built Flat Two Room(s) Assured Shorthold Tenancy,"£175,000 Plus",175000,Allsop Residential,26 March 2015,"125 Yr, commencing 24/06/2004 00:00:00 (GR.£300.PA.)",Pavillion Capital Partners Ltd
194,https://www.eigroup.co.uk/files/57/21129/fe4fe7db-a61d-4248-8fa6-c915f6add7ba.jpg,"Flat E1, 28 Upper Clapton Road, Clapton, London, E5 8BQ", London, E5 8BQ,Leasehold Self-Contained Purpose Built Flat Two Room(s) Assured Shorthold Tenancy,"£175,000 Plus",175000,Allsop Residential,26 March 2015,"125 Yr, commencing 24/06/2004 00:00:00 (GR.£300.PA.)",Pavillion Capital Partners Ltd
195,https://www.eigroup.co.uk/files/57/21129/e3cde981-dfb4-434f-bec9-3fd335e13cf5.jpg,"Flat 2, 5 Preston Road, Westcliff-on-Sea, Essex, SS0 7NB", Essex, SS0 7NB,Leasehold Self-Contained Ground Floor Flat Two Room(s) Vacant,Refer,,Allsop Residential,26 March 2015,"99 Yr, commencing 01/06/1984 00:00:00 (GR.£25.PA.)",Joint Fixed Charge Receivers
196,https://www.eigroup.co.uk/files/57/21129/9482bd15-efe0-44f8-9aac-e603e7e89978.jpg,"13 Dhu Varren Crescent, Belfast, County Antrim, BT13 3FL", County Antrim, BT13 3FL,Leasehold Semi-Detached House Two Floor 4 Room(s) Garden Vacant,"£30,000 Plus",30000,Allsop Residential,26 March 2015,"9000 Yr, commencing 01/10/1958 00:00:00 (GR.£8.PA)",
197,https://www.eigroup.co.uk/files/57/21129/75926291-13ab-46dc-9168-6292537f442b.jpg,"29 Station Road, Sidcup, Kent, DA15 7DZ", Kent, DA15 7DZ,Freehold Detached Building Three Floor Arranged As HMO 16 Bed Sit Garden Assured Shorthold Tenancy,"£950,000 Plus",950000,Allsop Residential,26 March 2015,,
197A,https://www.eigroup.co.uk/files/57/21129/1a6499d3-e24a-47c9-91a0-17b7a816a238.jpg,"149 Laleham Road, Catford, London, SE6 2AE", London, SE6 2AE,Freehold Terrace Building Arranged As 4 Studio Flat Assured Shorthold Tenancy,"£400,000 Plus",400000,Allsop Residential,26 March 2015,,
198,https://www.eigroup.co.uk/files/57/21129/f99b4d5e-a369-40f3-8ece-10620295d71e.jpg,"Orchard House, Greylees, Sleaford, Lincolnshire, NG34 8PP", Lincolnshire, NG34 8PP,Freehold Former Hospital Building Arranged As Office Total 23992 Square Feet Development Potential Conversion Residential Accommodation Subject to Planning Permission Vacant,"£700,000 to £750,000",700000,Allsop Residential,26 March 2015,,NHS Property Services Ltd
199,https://www.eigroup.co.uk/files/57/21129/28508483-6d9e-42d0-a6fb-78d01ce3660f.jpg,"398A Lewisham High Street, Lewisham, London, SE13 6LJ", London, SE13 6LJ,Leasehold Self-Contained 1st / 2nd Floor Maisonette Arranged As 6 Bed Sit & Ancillary Accommodation Arranged As HMO Development Potential Assured Shorthold Tenancy,"£450,000 Plus",450000,Allsop Residential,26 March 2015,"99 Yr, commencing 31/08/2001 00:00:00 (GR.£150.PA)",
200,https://www.eigroup.co.uk/files/57/21129/dd775087-6a66-469a-ba6a-612fcec276a3.jpg,"Flat 4, 26/28 North Avenue, Southend-on-Sea, Essex, SS2 5HU", Essex, SS2 5HU,Leasehold Self-Contained 1st Floor Flat One Bedroom Assured Shorthold Tenancy,Refer,,Allsop Residential,26 March 2015,"99 Yr, commencing 01/06/1987 00:00:00 (GR.£25.PA.)",Joint Fixed Charge Receivers
201,https://www.eigroup.co.uk/files/57/21129/717b792a-a263-44b5-9360-68bd2666ee80.jpg,"Land at Darwell Close, St. Leonards-on-Sea, East Sussex, TN38 8BP", East Sussex, TN38 8BP,Freehold Site 0.25 Acre Vacant,"£2,000 Plus",2000,Allsop Residential,26 March 2015,,Tilco Ltd
202,https://www.eigroup.co.uk/files/57/21129/448f9ff4-35a1-4cc7-b87e-554eca7c4014.jpg,"45 Norris Street, Warrington, Cheshire, WA2 7RJ", Cheshire, WA2 7RJ,Freehold Terrace Building Two Floor Arranged As Ground Floor Retail Unit/s Let Residential Upper Part Three Self-Contained Flat Assured Shorthold Tenancy,"£100,000 to £110,000",100000,Allsop Residential,26 March 2015,"3 Yr, commencing 25/08/2002 00:00:00",
203,https://www.eigroup.co.uk/files/57/21129/ea66df87-4179-46a5-bcab-7f082daf662d.jpg,"47 Norris Street, Warrington, Cheshire, WA2 7RJ", Cheshire, WA2 7RJ,Freehold Terrace Building Two Floor Arranged As Ground Floor Retail Unit/s Let Residential Upper Part Three Self-Contained Flat Assured Shorthold Tenancy,"£90,000 to £100,000",90000,Allsop Residential,26 March 2015,"3 Yr, commencing 27/07/2004 00:00:00",
204,https://www.eigroup.co.uk/files/57/21129/8dcefc59-8cbb-43f3-91b8-de711e173f64.jpg,"57 Oldfield Road, Willesden, London, NW10 9UD", London, NW10 9UD,Leasehold Self-Contained Ground Floor Garden Flat Two Room(s) Vacant,"£280,000 Plus",280000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/01/2015 00:00:00 (GR.£100.PA.)",Housing Association
205,https://www.eigroup.co.uk/files/57/21129/df5308a0-15ea-4a51-b4c9-1ffc8bd7c9da.jpg,"Former Leiston Constitutional Club, Waterloo Avenue, Leiston, Suffolk, IP16 4HE", Suffolk, IP16 4HE,Freehold Former Constitutional Club Residential Upper Part Three Bedroom on Site 0.314 Acre Development Potential Subject to Planning Permission Vacant,"£350,000 Plus",350000,Allsop Residential,26 March 2015,,
206,https://www.eigroup.co.uk/files/57/21129/708f158d-3974-4675-9d26-a3e8fb7f2ea9.jpg,"17 Throwley Way, Sutton, Surrey, SM1 4AF", Surrey, SM1 4AF,Freehold Detached Former Office Building Two Floor Total 5519 Square Feet Planning Permission Conversion 9 Self-Contained Flat Vacant,"£1,000,000 Plus",1000000,Allsop Residential,26 March 2015,,
207,https://www.eigroup.co.uk/files/57/21129/21d32704-c1d5-495a-8887-2fd55a668ef0.jpg,"Flat 1, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
208,https://www.eigroup.co.uk/files/57/21129/fdcba5ae-8279-4f59-a709-abb96e40b55a.jpg,"Flat 2, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
209,https://www.eigroup.co.uk/files/57/21129/152cb631-f295-4d8d-bfd2-3bb6b69bd29e.jpg,"Flat 5, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
210,https://www.eigroup.co.uk/files/57/21129/4e047c39-5dc7-4bea-bf76-94adc63626c8.jpg,"Flat 7, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
211,https://www.eigroup.co.uk/files/57/21129/b52ac413-08a4-48c1-9eba-cdcd6af669c0.jpg,"Flat 8, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
212,https://www.eigroup.co.uk/files/57/21129/9bccf2d0-b588-46a7-8684-6a8fb27d22c7.jpg,"Flat 12, Clough Close, Middlesbrough, Cleveland, TS5 5DW", Cleveland, TS5 5DW,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£45,000 to £50,000",45000,Allsop Residential,26 March 2015,"155 Yr, commencing 01/04/2003 00:00:00 (GR.£110.PA.)",
214,https://www.eigroup.co.uk/files/57/21129/fe05cff3-d0e4-403f-b83a-ef5029fa2b87.jpg,"Land at Beaconsfield Primary Care Centre, Bevan Way, Widnes, Cheshire, WA8 6TR", Cheshire, WA8 6TR,Freehold Site 0.99 Acre Development Potential Subject to Planning Permission Vacant,Refer,,Allsop Residential,26 March 2015,,NHS Property Services Ltd
215,https://www.eigroup.co.uk/files/57/21129/e755c370-4ac6-4397-a011-15b208802510.jpg,"Apartment 14, Windermere Court, Windermere Road, Leigh, Lancashire, WN7 1WH", Lancashire, WN7 1WH,Leasehold Self-Contained 3rd Floor Flat Two Bedroom Parking Space Assured Shorthold Tenancy,"£40,000 Plus",40000,Allsop Residential,26 March 2015,,Receiver
216,https://www.eigroup.co.uk/files/57/21129/c51944f2-8803-4bf7-8113-80f838657c2c.jpg,"Apartment 20, Windermere Court, Windermere Road, Leigh, Lancashire, WN7 1WH", Lancashire, WN7 1WH,Leasehold Self-Contained 1st Floor Flat Two Bedroom Parking Space Assured Shorthold Tenancy,"£40,000 Plus",40000,Allsop Residential,26 March 2015,,Receiver
217,https://www.eigroup.co.uk/files/57/21129/c5d367c7-8c73-4b5a-bfd7-7e28f09980fe.jpg,"Apartment 29, Windermere Court, Windermere Road, Leigh, Lancashire, WN7 1WH", Lancashire, WN7 1WH,Leasehold Self-Contained Flat Two Bedroom Parking Space Assured Shorthold Tenancy,"£40,000 Plus",40000,Allsop Residential,26 March 2015,,Receiver
218,https://www.eigroup.co.uk/files/57/21129/14127845-29d9-41fc-9d5b-d5d8e6ceab71.jpg,"The Greylands Hotel, 56-58 Edgar Road, Cliftonville, Margate, Kent, CT9 2EQ", Kent, CT9 2EQ,Freehold Building 5 Floor Arranged As 16 Self-Contained Flat 15 Assured Shorthold Tenancy One Vacant,"£500,000 to £575,000",500000,Allsop Residential,26 March 2015,,Joint Fixed Charge Receivers
219,https://www.eigroup.co.uk/files/57/21129/acc778c5-fc5c-412f-9359-c7d2db895658.jpg,"Flat 1, Epsom House, 1 Goldieslie Road, Sutton Coldfield, West Midlands, B73 5PU", West Midlands, B73 5PU,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Vacant,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/04/2006 00:00:00 (GR.£250.PA.)",
220,https://www.eigroup.co.uk/files/57/21129/255fbf61-d229-4c83-9adb-e4faee2a6248.jpg,"Flat 5, Epsom House, 49 Jockey Road, Sutton Coldfield, West Midlands, B73 5PU", West Midlands, B73 5PU,Leasehold Self-Contained Purpose Built 2nd Floor Flat Two Bedroom Assured Shorthold Tenancy,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/04/2006 00:00:00 (GR.£250.PA.)",
221,https://www.eigroup.co.uk/files/57/21129/cb2354fc-d9cf-4682-af09-db3e26b12624.jpg,"Flat 5, Ascot House, 49 Jockey Road, Sutton Coldfield, West Midlands, B73 5PU", West Midlands, B73 5PU,Leasehold Self-Contained Purpose Built 2nd Floor Flat Two Bedroom Vacant,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/04/2006 00:00:00 (GR.£250.PA.)",
222,https://www.eigroup.co.uk/files/57/21129/0c387823-3e47-45a5-85e0-59e53aa782bb.jpg,"Flat 3, York House, 47 Jockey Road, Sutton Coldfield, West Midlands, B73 5PU", West Midlands, B73 5PU,Leasehold Self-Contained Purpose Built Ground Floor Flat Two Bedroom Assured Shorthold Tenancy,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/04/2006 00:00:00 (GR.£250.PA.)",
223,https://www.eigroup.co.uk/files/57/21129/c2688ff9-b4d9-4f88-93e7-80ac2e93a173.jpg,"Flat 8, York House, 47 Jockey Road, Sutton Coldfield, West Midlands, B73 5PU", West Midlands, B73 5PU,Leasehold Self-Contained Purpose Built 2nd Floor Flat Two Bedroom Assured Shorthold Tenancy,"£140,000 Plus",140000,Allsop Residential,26 March 2015,"125 Yr, commencing 01/04/2006 00:00:00 (GR.£250.PA.)",
224,https://www.eigroup.co.uk/files/57/21129/41e9b8ee-24ed-4319-9d44-c0690a9ba959.jpg,"1-10 Haberdasher Place, Hoxton, London, N1 6BS", London, N1 6BS,Head Long Leasehold Block 10 Garage Let,"£250,000 Plus",250000,Allsop Residential,26 March 2015,"995 Yr, commencing 25/03/1997 00:00:00 (GR.£200.PA.)",
225,https://www.eigroup.co.uk/files/57/21129/4de629da-4c5c-4ed5-a41c-de8b5cf55dfd.jpg,"22 Montrell Road, Streatham, London, SW2 4QB", London, SW2 4QB,Freehold Semi-Detached Building Three Floor Arranged As Two Studio Flat & 11 Bedroom Development Potential Subject to Planning Permission Vacant,"£900,000 to £1,000,000",900000,Allsop Residential,26 March 2015,,Receiver
226,https://www.eigroup.co.uk/files/57/21129/c8e68bf0-53d8-4e78-a458-c143aa48146a.jpg,"Riverview Heights, Budshead Road, Plymouth, Devon, PL5 2QY", Devon, PL5 2QY,Freehold Detached Purpose Built Block Three Floor Arranged As 6 Self-Contained Flat Assured Shorthold Tenancy,Refer,,Allsop Residential,26 March 2015,,Joint Fixed Charge Receivers
227,https://www.eigroup.co.uk/files/57/21129/788881b0-7acb-4ede-99ae-d684bb7654b2.jpg,"Site at Great Harwood Health Centre, Water Street, Great Harwood, Blackburn, Lancashire, BB6 7QR", Lancashire, BB6 7QR,Freehold Site 0.91 Acre Development Potential Subject to Planning Permission Vacant,"£125,000 to £150,000",125000,Allsop Residential,26 March 2015,,NHS Property Services Ltd
228,https://www.eigroup.co.uk/files/57/21129/26f8c26c-5212-4341-add1-64fa20655247.jpg,"Flat 1, 4 Westbrook Road, Margate, Kent, CT9 5AU", Kent, CT9 5AU,Leasehold Self-Contained Basement Flat One Bedroom Assured Shorthold Tenancy,"£32,500 to £37,500",32500,Allsop Residential,26 March 2015,"99 Yr, commencing 01/01/1989 00:00:00 (GR.£50.PA.)",Joint Fixed Charge Receivers
229,https://www.eigroup.co.uk/files/57/21129/e95bb546-5e17-4b75-a05b-f9fa7894dd7a.jpg,"Land R/O Carlingford Drive, Westcliff-on-Sea, Essex, SS0 0SB", Essex, SS0 0SB,Leasehold Land 0.005 Acre Vacant,"£1,000 Plus",1000,Allsop Residential,26 March 2015,,Joint Fixed Charge Receivers
230,https://www.eigroup.co.uk/files/57/21129/0496b8b6-cab5-49c1-9f8a-77f005ac3ece.jpg,"Former Cerne Abbas Care Centre, Cerne Abbas, Dorchester, Dorset, DT2 7AL", Dorset, DT2 7AL,Freehold Former Care Home Arranged As 58 Bedroom 5 Flat & Two Office Development Potential Subject to Planning Permission Vacant,"£600,000 Plus",600000,Allsop Residential,26 March 2015,,
231,https://www.eigroup.co.uk/files/57/21129/49e1baa3-d266-43b1-83b1-0d0673e5961f.jpg,"Flat 3, 12/14 Surrey Road, Cliftonville, Margate, Kent, CT9 2LA", Kent, CT9 2LA,Leasehold 1st Floor Flat One Bedroom Assured Shorthold Tenancy,"£27,500 to £32,500",27500,Allsop Residential,26 March 2015,"99 Yr, commencing 25/03/1989 00:00:00 (GR.£100.PA.)",Joint Fixed Charge Receivers
232,https://www.eigroup.co.uk/files/57/21129/7e347328-9bf4-4eb9-89c6-588d875e98ae.jpg,"Flat 5, 12-14 Surrey Road, Cliftonville, Margate, Kent, CT9 2LA", Kent, CT9 2LA,Leasehold 2nd Floor Self-Contained Flat One Bedroom Assured Shorthold Tenancy,"£27,500 to £32,500",27500,Allsop Residential,26 March 2015,"99 Yr, commencing 25/03/1989 00:00:00 (GR.£100.PA.)",Joint Fixed Charge Receivers
233,https://www.eigroup.co.uk/files/57/21129/dd603840-a5f4-4fde-8ae8-aea2b9e5bd3a.jpg,"Flat 6, 12-14 Surrey Road, Cliftonville, Margate, Kent, CT9 2LA", Kent, CT9 2LA,Leasehold 3rd Floor Self-Contained Studio Flat Assured Shorthold Tenancy,"£25,000 to £30,000",25000,Allsop Residential,26 March 2015,"99 Yr, commencing 25/03/1989 00:00:00 (GR.£100.PA.)",Joint Fixed Charge Receivers
234,https://www.eigroup.co.uk/files/57/21129/bba975d6-e578-45de-b742-bb67d7e34c41.jpg,"49 Hampden Street, South Bank, Middlesbrough, Cleveland, TS6 6LA", Cleveland, TS6 6LA,Freehold Terrace House Two Floor Three Room(s) Vacant,"£20,000 Plus",20000,Allsop Residential,26 March 2015,,
235,https://www.eigroup.co.uk/files/57/21129/2b9f9766-b640-4263-87cd-5de3fc8cea29.jpg,"Redwood Flats, Brandon, Durham, County Durham, DH7 8PY", County Durham, DH7 8PY,Freehold End of Terrace House Two Floor Three Room(s) Garden Assured Shorthold Tenancy,"£25,000 Plus",25000,Allsop Residential,26 March 2015,,
236,https://www.eigroup.co.uk/files/57/21129/3421ef34-40d6-4f11-85f7-2f3567f14c59.jpg,"73 Hampden Street, South Bank, Middlesbrough, Cleveland, TS6 6LQ", Cleveland, TS6 6LQ,Freehold End of Terrace House Two Floor 4 Room(s) Yards Assured Shorthold Tenancy,"£25,000 Plus",25000,Allsop Residential,26 March 2015,,
237,https://www.eigroup.co.uk/files/57/21129/da44d556-909d-467f-9265-07fe8bbd56cf.jpg,"887 St. Albans Road, Watford, Hertfordshire, WD25 0NH", Hertfordshire, WD25 0NH,Freehold Detached Bungalow 4 Room(s) on Site 0.107 Acre Planning Permission Block 4 Self-Contained Flat Assured Shorthold Tenancy,"£475,000 Plus",475000,Allsop Residential,26 March 2015,,
238,https://www.eigroup.co.uk/files/57/21129/c4b4df18-6d23-4522-9c4d-4337d87141fb.jpg,"25-29 Park Road, Moseley, Birmingham, West Midlands, B13 8AH", West Midlands, B13 8AH,Freehold Terrace Building Three Floor Arranged As Care Home Let,"£850,000 to £900,000",850000,Allsop Residential,26 March 2015,"5 Yr, commencing 19/05/2014 00:00:00 (FRI.)",
